item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|harga|keyword_ulasan|detail|url
TOBAHOTL0065|Manise Homestay toba|Manise Homestay toba|2.3430748|99.0723139|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/qEa1B3m5gymUiMAx8
TOBAHOTL0066|Maniur homestay toba|Maniur homestay toba|2.3467144|99.0697667|5,0|1|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Maniur+homestay+kabupaten+toba
TOBAHOTL0067|MESS PEMPROVSU BALIGE toba|MESS PEMPROVSU BALIGE toba|2.3360203|99.0640235|4,4|76|Tidak ada informasi harga|luas, pelayanan, halal food, standar, panas, parkir, harga|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/MESS+PEMPROVSU+BALIGE+kabupaten+toba
TOBAHOTL0069|MUTIARA BALIGE HOTEL toba|MUTIARA BALIGE HOTEL toba|2.333572|99.058865|4,1|716|Tidak ada informasi harga|Tidak ada keyword|Wi-Fi gratis, Sarapan, Parkir gratis, Layanan binatu, Layanan kamar, Cocok untuk anak-anak, Restoran|https://www.google.com/maps/search/MUTIARA+BALIGE+HOTEL+kabupaten+toba
TOBAHOTL0070|NAGITA HOMESTAY toba|NAGITA HOMESTAY toba|2.3463408|99.0759765|4,8|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/ij7vHFCvwbGC7Vhf9
TOBAHOTL0071|Nauli Inn toba|Nauli Inn toba|2.3444332|99.0787909|4,9|184|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Nauli+Inn+kabupaten+toba
TOBAHOTL0073|Bobocabin Kaldera, Toba|Bobocabin Kaldera, Toba|2.6078116|98.9445685|4,6|200|Harga lainnya mulai Rp 1.073.535|bbq, sejuk, pemandangan, harga, kabin, orang, jendela, cuaca, pagi, honeymoon|Wi-Fi gratis, Sarapan berbayar, Tempat parkir, AC, Layanan Kamar, Cocok untuk anak-anak, Bebas asap rokok|https://maps.app.goo.gl/Z5ZCdTbtpEVQdFYT8
TOBAHOTL0075|OP PAULUS SIRAIT toba|Hotel OP. PAULUS SIRAIT|2.660584|98.9348664|4,3|3|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/OP+PAULUS+SIRAIT+kabupaten+toba
TOBAHOTL0078|PENGINAPAN MARTOGI toba|PENGINAPAN MARTOGI toba|2.38571|99.1053482|4,9|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://www.google.com/maps/search/PENGINAPAN+MARTOGI+kabupaten+toba
TOBAHOTL0079|PENGINAPAN WILLIAM PAKPAHAN toba|PENGINAPAN WILLIAM PAKPAHAN toba|2.5121568|99.0070836|4,8|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Kolam renang, Parkir gratis, Wi-Fi gratis, Wi-Fi, AC|https://www.google.com/maps/search/PENGINAPAN+WILLIAM+PAKPAHAN+kabupaten+toba
